等号,关键字,字体,字形,字数,编号,编号位置,word对象,缩进,对齐方式,大纲级别,标点,中文比例,邮箱符号,字号
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9648241,0.08333333333333333
0,4,宋体,-1,1,5,0,0,1,4,10,0,1,0.53125,0.08333333333333333
0,0,TimesNewRoman,0,0,5,0,0,1,4,10,0,1,0,0.3333333333333333
0,2,TimesNewRoman,-1,1,5,0,0,1,4,10,0,0,0,0.3333333333333333
0,0,宋体,-1,1,5,2,0,0,1,1,0,0,1,1.0
0,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.0
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,5,0,0,0,1,1,0,0,1,1.0
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,0.25,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.6783919,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,0,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.7227723,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,0,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.6497462,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,0,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.7012987,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,0,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.816,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,0,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.7890625,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
