段落角色,等号,关键字,字体,字形,字数,编号,编号位置,word对象,缩进,对齐方式,大纲级别,标点,中文比例,邮箱符号,字号
2,0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.995,0.65625
3,0,4,宋体,-1,1,5,0,0,0,3,10,0,0,0.7142857,0.65625
4,0,0,TimesNewRoman,0,0,5,0,0,-1,3,10,0,1,0,0.75
5,0,2,TimesNewRoman,-1,1,5,0,0,0,3,10,0,0,0.05882353,0.75
10,0,0,宋体,-1,1,5,2,0,0,1,1,0,0,1,1.0
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.65625
11,0,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.65625
11,0,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.95,0.65625
17,1,0,TimesNewRoman,-1,1,5,3,0,1,3,10,0,1,0,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.8540146,0.65625
17,1,0,TimesNewRoman,0,1,5,3,0,1,3,10,0,1,0.08333334,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.8181818,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9102564,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.8869565,0.65625
15,1,0,宋体,0,0,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.8363636,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.8932039,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,1,0,宋体,0,0,2,2,0,1,3,10,0,1,0.9949495,0.65625
15,1,0,宋体,0,0,5,2,0,1,3,10,0,1,1,0.65625
15,1,0,宋体,0,0,5,2,0,1,3,10,0,1,1,0.65625
15,1,0,宋体,0,0,5,2,0,1,3,10,0,1,0.9126214,0.65625
15,1,0,宋体,0,0,2,2,0,1,3,10,0,1,0.8838384,0.65625
10,1,0,宋体,-1,1,2,2,0,0,1,1,0,0,1,1.0
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9262295,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,0,0.4,0.65625
15,1,0,宋体,0,1,5,0,0,0,3,10,0,1,0.8918919,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.65625
15,1,0,宋体,0,0,5,0,0,0,3,10,0,1,0.9615384,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,0,0.75
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.895,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,1,0,宋体,0,0,5,0,0,0,3,10,0,1,1,0.65625
