fontcolor,bold,italic,alignment,outlinelevel,wordobjecttype,imarkerstype,imarkerspos,punctuation,keyword,fontsize,characount,sentencount,firstlineindent,spacebefore,spaceafter,linespacing,wordobjectwidth,wordobjectheight
4,3,0,3,0,1,1,1,0,1,1.0,0.07277628032345014,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.09703504043126684,0.0,0.991701244813278,0.0,0.0,1.0,0.0,0.0
4,3,0,3,0,1,1,2,0,1,0.2727272727272727,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.894878706199461,1.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,3,0,3,0,1,1,2,0,1,0.2727272727272727,0.005390835579514825,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.16442048517520216,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,6,2,0,1,0.0,0.016172506738544472,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.29919137466307283,0.25,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,6,2,0,1,0.0,0.02425876010781671,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.20754716981132076,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,6,2,0,1,0.0,0.016172506738544472,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,1.0,0.25,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,3,0,3,0,1,1,2,0,1,0.2727272727272727,0.01886792452830189,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
3,0,0,3,0,1,1,1,0,1,0.0,0.14824797843665768,0.0,0.7593360995850622,0.0,0.0,1.0,0.0,0.0
4,3,0,3,0,1,1,2,0,1,0.2727272727272727,0.010781671159029652,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
